Algorithm,Dataset,Train %,Normalized Embeddings,Micro-F1,Macro-F1,Accuracy,Num of Shuffles,Embedding Size,Classifier,Q,P,dimension,walklength,Estimator
node2vec,flickr,0.01,False,0.29899205807872,0.07223297781336466,0.22725196968936623,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,False,0.33743289245076985,0.12412384715471514,0.2575554335320573,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,True,0.2955061000218902,0.06966447348635044,0.2246010438099062,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,True,0.33712522540816287,0.17248831457801217,0.2648075515113482,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,False,0.29899205807872,0.07223297781336466,0.22725196968936623,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,False,0.33743289245076985,0.12412384715471514,0.2575554335320573,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,True,0.2955061000218902,0.06966447348635044,0.2246010438099062,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,True,0.33712522540816287,0.17248831457801217,0.2648075515113482,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,False,0.29899205807872,0.07223297781336466,0.22725196968936623,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,False,0.33743289245076985,0.12412384715471514,0.2575554335320573,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,False,0.3571954935004795,0.19424634921196185,0.2814200117378901,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,True,0.295109385744729,0.06719726585327722,0.22451071410648873,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,True,0.33712522540816287,0.17248831457801217,0.2648075515113482,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,True,0.3546998549180066,0.16506002899878522,0.27396099198820745,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,False,0.29899205807872,0.07223297781336466,0.22725196968936623,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,False,0.33743289245076985,0.12412384715471514,0.2575554335320573,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,False,0.3571954935004795,0.19424634921196185,0.2814200117378901,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.1,False,0.3585885678275316,0.1888342227168778,0.28128260329552035,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,True,0.29669834532822276,0.07023788649904686,0.22607266522808253,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,True,0.33712522540816287,0.17248831457801217,0.2648075515113482,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,True,0.3546998549180066,0.16506002899878522,0.27396099198820745,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.1,True,0.3473641313857784,0.19222167829694703,0.2730286218983743,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,False,0.29899205807872,0.07223297781336466,0.22725196968936623,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,False,0.33743289245076985,0.12412384715471514,0.2575554335320573,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,False,0.3571954935004795,0.19424634921196185,0.2814200117378901,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.1,False,0.3585885678275316,0.1888342227168778,0.28128260329552035,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.01,True,0.29669834532822276,0.07023788649904686,0.22607266522808253,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.05,True,0.33712522540816287,0.17248831457801217,0.2648075515113482,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.09,True,0.3546998549180066,0.16506002899878522,0.27396099198820745,10,128,,0.25,0.25,128,10,Eigenpro
node2vec,flickr,0.1,True,0.3473641313857784,0.19222167829694703,0.2730286218983743,10,128,,0.25,0.25,128,10,Eigenpro
Algorithm,Dataset,Train %,Normalized Embeddings,Micro-F1,Macro-F1,Accuracy,Num of Shuffles,Embedding Size,Classifier,Q,P,dimension,walklength,Estimator
node2vec,flickr,0.01,False,0.2908676442015368,0.07746121234793549,0.2239273347719175,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.05,False,0.3309807496615101,0.14515746765844026,0.25687428093295683,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.09,False,0.341347194194841,0.1698937233793805,0.2661361868235358,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.1,False,0.3368945872176126,0.15934530413701514,0.26181860837404436,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.01,False,0.2908676442015368,0.07746121234793549,0.2239273347719175,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.05,False,0.3309807496615101,0.14515746765844026,0.25687428093295683,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.09,False,0.341347194194841,0.1698937233793805,0.2661361868235358,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.1,False,0.3368945872176126,0.15934530413701514,0.26181860837404436,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.01,True,0.29021224237046744,0.07031000506782226,0.2212425352536759,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.05,True,0.3155814403221945,0.09062195512735882,0.23768303524735904,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.09,True,0.33722816120528576,0.12328299482517242,0.25780091992302123,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.1,True,0.3369309300363976,0.12205530619077068,0.25797245452789047,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.01,True,0.29021224237046744,0.07031000506782226,0.2212425352536759,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.05,True,0.3155814403221945,0.09062195512735882,0.23768303524735904,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.09,True,0.33722816120528576,0.12328299482517242,0.25780091992302123,10,128,,0.25,1.0,128,10,Eigenpro
node2vec,flickr,0.1,True,0.3369309300363976,0.12205530619077068,0.25797245452789047,10,128,,0.25,1.0,128,10,Eigenpro
