dataset,algo,dimension,window size,i/p,init,gpuio,D, X, S, M,SVD, Emb, total
blogcatalog,small,3,3,1,1208,0,0,0,0,0,0,0,1209
blogcatalog,small,3,3,1,748,0,0,0,0,0,0,0,749
blogcatalog,small,3,3,1,694,0,0,0,0,0,0,0,695
blogcatalog,small,3,3,2,2690,0,0,0,0,0,0,0,2692
blogcatalog,small,3,3,1,695,0,0,0,0,0,1,0,697
blogcatalog,small,2,3,2,690,0,0,0,0,0,97,0,789
blogcatalog,small,2,3,3,710,0,0,0,0,0,62,0,775
blogcatalog,small,2,3,3,706,0,0,0,0,0,66,0,775
blogcatalog,small,2,3,1,695,0,0,0,0,0,5,0,701
blogcatalog,small,2,3,3,704,0,0,0,0,0,79,0,786
blogcatalog,small,2,3,3,749,0,0,0,0,0,72,0,824
